dataset_date,org,agency,affiliation,talent_id,name,en_name,tag,tag_norm,tag_kind,source_label,source_url,source_type,confidence,notes
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:緑仙,緑仙,Ryushen,#緑仙はやく見ろ,緑仙はやく見ろ,fanart,Fan Art,https://hololist.net/ryushen/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:舞元啓介,舞元啓介,Maimoto Keisuke,#しら画,しら画,fanart,Fan Art,https://hololist.net/maimoto-keisuke/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:花畑チャイカ,花畑チャイカ,Hanabatake Chaika,#お花畑青空大写生大会,お花畑青空大写生大会,fanart,Fan Art,https://hololist.net/hanabatake-chaika/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:花籠つばさ,花籠つばさ,Hanakago Tsubasa,#放籠展示会,放籠展示会,fanart,Fan Art,https://hololist.net/hanakago-tsubasa/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:葉加瀬冬雪,葉加瀬冬雪,Hakase Fuyuki,#はかせレポート,はかせレポート,fanart,Fan Art,https://hololist.net/hakase-fuyuki/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:葉山舞鈴,葉山舞鈴,Hayama Marin,#舞鈴クラフト,舞鈴クラフト,fanart,Fan Art,https://hololist.net/hayama-marin/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:葛葉,葛葉,Kuzuha,#KuzuArt,kuzuart,fanart,Fan Art,https://hololist.net/kuzuha/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:蝸堂みかる,蝸堂みかる,Kadou Mikaru,##みかるん絵,みかるん絵,fanart,Fan Art,https://hololist.net/kadou-mikaru/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:西園チグサ,西園チグサ,Nishizono Chigusa,#ニシゾノート,ニシゾノート,fanart,Fan Art,https://hololist.net/nishizono-chigusa/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:語部紡,語部紡,Kataribe Tsumugu,#い絵ーい,い絵ーい,fanart,Fan Art,https://hololist.net/kataribe-tsumugu/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:赤城ウェン,赤城ウェン,Akagi Wen,#紙とウェン,紙とウェン,fanart,Fan Art,https://hololist.net/akagi-wen/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:赤羽葉子,赤羽葉子,Akabane Youko,#赤羽絵葉書,赤羽絵葉書,fanart,Fan Art,https://hololist.net/akabane-youko/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:轟京子,轟京子,Todoroki Kyoko,#クリエイツ轟京子,クリエイツ轟京子,fanart,Fan Art,https://hololist.net/todoroki-kyoko/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:酒寄颯馬,酒寄颯馬,Sakayori Soma,#そうまart,そうまart,fanart,Fan Art,https://hololist.net/sakayori-soma/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:鈴原るる,鈴原るる,Suzuhara Lulu,#るるのアトリエ,るるのアトリエ,fanart,Fan Art,https://hololist.net/suzuhara-lulu/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:鈴木勝,鈴木勝,Suzuki Masaru,#漆黒の水鏡,漆黒の水鏡,fanart,Fan Art,https://hololist.net/suzuki-masaru/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:鏑木ろこ,鏑木ろこ,Kaburaki Roco,#らくがきろこ,らくがきろこ,fanart,Fan Art,https://hololist.net/kaburaki-roco/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:長尾景,長尾景,Nagao Kei,#長尾百景,長尾百景,fanart,Fan Art,https://hololist.net/nagao-kei/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,NIJISANJI EN,nijisanji:闇ノシュウ,闇ノシュウ,Shu Yamino,#YaminoArt,yaminoart,fanart,Fan Art,https://hololist.net/shu-yamino/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
